               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.014975,           0.0080879,                   0,             0.80035,              0.5743,             0.66164,             0.43378,             0.04764,           0.0095579,                   0,           0.0086597,           0.0086597,           0.0086597
                  90,            0.014975,           0.0081369,                   0,             0.81988,             0.56944,             0.66713,             0.43233,            0.047843,           0.0094036,                   0,           0.0086445,           0.0086445,           0.0086445
                  91,            0.015124,           0.0081101,                   0,             0.77269,             0.58887,             0.66678,             0.43119,             0.04905,           0.0093147,                   0,           0.0086292,           0.0086292,           0.0086292
                  92,            0.014834,           0.0078528,                   0,             0.76096,             0.62693,             0.68378,             0.43942,            0.048003,           0.0091356,                   0,            0.008614,            0.008614,            0.008614
                  93,            0.014283,           0.0079126,                   0,             0.75703,             0.62384,             0.67592,             0.44424,            0.048113,           0.0093564,                   0,           0.0085988,           0.0085988,           0.0085988
                  94,            0.014322,           0.0076648,                   0,             0.74851,             0.61912,             0.67145,             0.43591,            0.047832,           0.0090473,                   0,           0.0085835,           0.0085835,           0.0085835
                  95,             0.01435,            0.007592,                   0,             0.74642,             0.63889,             0.69268,             0.44263,            0.047029,            0.009093,                   0,           0.0085683,           0.0085683,           0.0085683
                  96,            0.014226,           0.0077963,                   0,             0.77944,             0.61174,             0.68634,             0.44331,            0.047086,           0.0093097,                   0,           0.0085531,           0.0085531,           0.0085531
                  97,            0.014149,            0.007689,                   0,             0.75265,             0.61206,             0.67492,             0.43907,            0.048119,           0.0093614,                   0,           0.0085378,           0.0085378,           0.0085378
                  98,            0.014494,           0.0077737,                   0,             0.77805,             0.59752,             0.66937,             0.44243,              0.0474,           0.0095358,                   0,           0.0085226,           0.0085226,           0.0085226
                  99,            0.014249,           0.0078477,                   0,             0.78634,             0.61051,             0.68077,             0.44784,            0.048015,           0.0092326,                   0,           0.0085074,           0.0085074,           0.0085074
                 100,            0.014799,           0.0078644,                   0,             0.76349,             0.62769,             0.67974,              0.4451,             0.04798,           0.0092971,                   0,           0.0084922,           0.0084922,           0.0084922
                 101,             0.01429,           0.0076345,                   0,             0.77132,             0.62229,             0.68681,             0.45008,             0.04822,           0.0092413,                   0,           0.0084769,           0.0084769,           0.0084769
                 102,            0.014416,           0.0076703,                   0,             0.78207,             0.61479,             0.68408,             0.44552,            0.048307,           0.0093227,                   0,           0.0084617,           0.0084617,           0.0084617
                 103,            0.014149,           0.0077286,                   0,             0.77711,             0.62597,             0.68835,             0.44182,            0.047844,           0.0093405,                   0,           0.0084465,           0.0084465,           0.0084465
                 104,            0.013928,           0.0076329,                   0,             0.79193,             0.61368,             0.68766,             0.44605,            0.048382,           0.0094247,                   0,           0.0084312,           0.0084312,           0.0084312
                 105,            0.014159,            0.007584,                   0,             0.81763,             0.60957,             0.69801,             0.45164,            0.047751,           0.0091979,                   0,            0.008416,            0.008416,            0.008416
                 106,            0.014211,            0.007531,                   0,              0.8022,             0.62848,             0.70652,             0.45985,            0.046459,           0.0092111,                   0,           0.0084008,           0.0084008,           0.0084008
                 107,            0.014689,           0.0078163,                   0,             0.82175,             0.61395,             0.70548,             0.46225,            0.045952,           0.0092102,                   0,           0.0083855,           0.0083855,           0.0083855
                 108,            0.014117,           0.0076748,                   0,             0.79407,             0.63117,             0.70643,             0.46239,            0.045964,           0.0091261,                   0,           0.0083703,           0.0083703,           0.0083703
                 109,            0.014199,           0.0076879,                   0,             0.82563,             0.61669,             0.71197,             0.46595,            0.045971,            0.008975,                   0,           0.0083551,           0.0083551,           0.0083551
                 110,            0.014834,           0.0078308,                   0,             0.77583,             0.63853,             0.70578,             0.46596,            0.046335,           0.0089149,                   0,           0.0083398,           0.0083398,           0.0083398
                 111,            0.014441,           0.0078923,                   0,             0.82318,                 0.6,              0.7013,               0.465,            0.046871,           0.0090254,                   0,           0.0083246,           0.0083246,           0.0083246
